l1,l2,clust,prec,rec,bits,n_nodes,graph,mech,eps
232.44200000000006,232.4525855911265,0.9002218083378988,0.009793103448269109,0.11601307189447703,250000,500,ER,RR,0.1
231.38599999999994,231.48743313622882,0.8590332007383394,0.011094339622633136,0.0985915492951134,250000,500,BA,RR,0.1
227.7060000000001,227.707844476206,0.40224967250491594,0.019804577349321395,0.12084833933525072,250000,500,WS,RR,0.1
165.97814764103785,165.99297177395846,0.8427369108320409,0.009976744186044191,0.3504901960755679,250000,500,ER,OUE,0.1
164.7533471078315,164.89577340621446,0.7956457028509991,0.010959790977823543,0.3181208053669925,250000,500,BA,OUE,0.1
163.30534910735543,163.30792095631872,0.34806375850824334,0.020071428571423792,0.3371999999986512,250000,500,WS,OUE,0.1
245.11600000000004,245.1260382741907,0.859332994565781,0.009779826776723372,0.47179067865517754,4500,500,ER,HR,0.1
243.996,244.09219307466591,0.8193267516956705,0.010613545816731377,0.4466800804799016,4500,500,BA,HR,0.1
240.044,240.04574967284884,0.3630404106076224,0.01987965309746377,0.46138455381968235,4500,500,WS,HR,0.1
58.78494167698159,73.75373004562657,0.0828649789597113,0.011275664759321314,0.05473856209105606,446634,500,ER,SRR,0.1
60.624274788145584,75.62048397474025,0.03560850103976446,0.012326916582214915,0.048993288590275214,446634,500,BA,SRR,0.1
59.59177487145909,74.25837710612883,0.41137041706642563,0.020597670099576908,0.048799999999804805,446634,500,WS,SRR,0.1
175.14932577957615,175.16337375444704,0.844560171811833,0.010010582010579893,0.3864379084935749,272000,500,ER,BOUE,0.1
176.8043427767197,176.93706883722186,0.7974215919786494,0.013968549598930355,0.44295302013125537,272000,500,BA,BOUE,0.1
181.8219755046416,181.82428544177066,0.35250922776000415,0.020000398017867023,0.402160864344129,272000,500,WS,BOUE,0.1
220.448,220.45916149708998,0.9852588704138575,0.01199999999984,0.0073529411764105155,250000,500,ER,RR,0.2
219.42399999999998,219.53096018557383,0.9381202905806739,0.005340453938513479,0.0026845637583712448,250000,500,BA,RR,0.2
215.88799999999998,215.88994544443244,0.48488844402385634,0.019333333333204444,0.0115999999999536,250000,500,WS,RR,0.2
99.11623174121516,99.14105395131864,0.8761768026638989,0.009609756097556288,0.16094771241698574,250000,500,ER,OUE,0.2
98.663554862052,98.90120202513795,0.8307661123446834,0.009400470023496475,0.1261744966434485,250000,500,BA,OUE,0.2
96.2596934348401,96.26405653290014,0.39074690793963895,0.02038888888887756,0.14679999999941282,250000,500,WS,OUE,0.2
245.1279999999999,245.138037782797,0.8580277817304667,0.009785575718036399,0.466067048238217,4500,500,ER,HR,0.2
244.00799999999992,244.1041883458782,0.817823793972998,0.010338709677417688,0.429912810191617,4500,500,BA,HR,0.2
240.05600000000004,240.05774958538623,0.3634658880685724,0.019828666586547437,0.4621848739477304,4500,500,WS,HR,0.2
28.764632264506897,36.104580274126626,0.07857525826812277,0.012221041445249343,0.05637254901914729,446634,500,ER,SRR,0.2
29.93016457659058,37.35488430194132,0.03122397882198496,0.01333333333330963,0.05030181086485378,446634,500,BA,SRR,0.2
29.679028001899663,37.02181840337411,0.4156992161932095,0.022884513038809857,0.0515999999997936,446634,500,WS,SRR,0.2
125.59789078971603,125.61748029165945,0.8534429011258814,0.010153846153842683,0.24264705882154702,272000,500,ER,BOUE,0.2
129.35862496669046,129.53997281639698,0.8054108234536472,0.014387038219767256,0.2872483221457232,272000,500,BA,BOUE,0.2
132.97866427211417,132.9818226360116,0.35380178878566937,0.019999999999993846,0.25999999999896,272000,500,WS,BOUE,0.2
184.796,184.80931470031481,0.008789177489177489,0.0,0.0,250000,500,ER,RR,0.5
184.076,184.20348661195314,0.055927757322361056,0.0,0.0,250000,500,BA,RR,0.5
180.932,180.9343212991941,0.5033510711510718,0.0,0.0,250000,500,WS,RR,0.5
36.099782283302105,36.16787891073808,0.008789177489177489,0.008032128513733649,0.0016353229762744457,250000,500,ER,OUE,0.5
36.09671554581013,36.430813331354464,0.055927757322361056,0.004016064256866824,0.0006711409395928112,250000,500,BA,OUE,0.5
34.377590568160834,34.38980565912086,0.5033510711510718,0.0,0.0,250000,500,WS,OUE,0.5
245.11600000000004,245.1260382741907,0.8563553283900488,0.00978183025030834,0.45789043335684476,4500,500,ER,HR,0.5
243.996,244.09219307466591,0.817823793972998,0.010290488556265378,0.42818791946021356,4500,500,BA,HR,0.5
240.03600000000003,240.03774973116208,0.36566474361098456,0.019831932773105913,0.47199999999811204,4500,500,WS,HR,0.5
11.541774110124148,14.360595066824184,0.06529268722004423,0.015595363540536153,0.06045751633937535,446634,500,ER,SRR,0.5
12.354048074516806,15.90291813118244,0.018217429931150823,0.0183621781341951,0.058350100603230384,446634,500,BA,SRR,0.5
13.197459316671265,16.382262356395522,0.42810736919553927,0.031852472757686816,0.060799999999756806,446634,500,WS,SRR,0.5
49.56982085049389,49.619434933804506,0.9593583464744124,0.011532125205903666,0.04006541291872392,272000,500,ER,BOUE,0.5
50.094075475064585,50.47286028132455,0.9104857443798386,0.011780395643450145,0.03557046979841899,272000,500,BA,BOUE,0.5
50.99206715079735,51.000303060976286,0.4546195206349094,0.020347826086921133,0.046799999999812804,272000,500,WS,BOUE,0.5
131.99600000000004,132.01464009722557,0.008789177489177489,0.0,0.0,250000,500,ER,RR,1.0
131.45600000000005,131.63445840660418,0.055927757322361056,0.0,0.0,250000,500,BA,RR,1.0
129.14799999999997,129.15125204193725,0.5033510711510718,0.0,0.0,250000,500,WS,RR,1.0
15.76564594678845,15.920953995269478,0.008789177489177489,0.0,0.0,250000,500,ER,OUE,1.0
